date,max_temperature_c,min_temperature_c,precipitation_mm,max_wind_speed_kmh,city,average_temperature_c,temperature_range_c,year,month,month_name,is_rainy_day
2022-09-16,31.2,24.7,4.1,19.3,Bangkok,28.0,6.5,2022,9,September,True
2022-09-17,30.8,25.1,9.5,17.3,Bangkok,28.0,5.7,2022,9,September,True
2022-09-18,29.6,24.8,11.7,16.2,Bangkok,27.2,4.8,2022,9,September,True
2022-09-19,30.0,24.9,17.1,15.4,Bangkok,27.4,5.1,2022,9,September,True
2022-09-20,31.2,24.1,1.1,14.8,Bangkok,27.6,7.1,2022,9,September,True
2022-09-21,31.5,24.1,17.0,13.0,Bangkok,27.8,7.4,2022,9,September,True
2022-09-22,29.8,24.3,19.2,9.5,Bangkok,27.0,5.5,2022,9,September,True
2022-09-23,29.7,24.0,19.2,12.0,Bangkok,26.8,5.7,2022,9,September,True
2022-09-24,30.0,23.5,24.5,14.1,Bangkok,26.8,6.5,2022,9,September,True
2022-09-25,29.3,23.7,18.0,9.9,Bangkok,26.5,5.6,2022,9,September,True
2022-09-26,29.1,23.6,28.3,8.4,Bangkok,26.4,5.5,2022,9,September,True
2022-09-27,29.3,24.0,20.0,13.6,Bangkok,26.6,5.3,2022,9,September,True
2022-09-28,29.9,24.1,0.2,18.7,Bangkok,27.0,5.8,2022,9,September,True
2022-09-29,27.9,24.6,18.1,17.6,Bangkok,26.2,3.3,2022,9,September,True
2022-09-30,29.8,24.9,16.8,19.0,Bangkok,27.4,4.9,2022,9,September,True
2022-10-01,29.8,25.4,5.2,17.1,Bangkok,27.6,4.4,2022,10,October,True
2022-10-02,30.8,24.6,5.5,8.7,Bangkok,27.7,6.2,2022,10,October,True
2022-10-03,28.9,24.1,22.1,14.6,Bangkok,26.5,4.8,2022,10,October,True
2022-10-04,30.0,23.2,12.2,18.7,Bangkok,26.6,6.8,2022,10,October,True
2022-10-05,28.8,24.1,11.6,12.0,Bangkok,26.4,4.7,2022,10,October,True
2022-10-06,30.1,23.7,15.6,12.8,Bangkok,26.9,6.4,2022,10,October,True
2022-10-07,30.6,23.8,28.6,14.8,Bangkok,27.2,6.8,2022,10,October,True
2022-10-08,30.4,23.4,16.4,16.3,Bangkok,26.9,7.0,2022,10,October,True
2022-10-09,30.6,24.2,19.0,8.9,Bangkok,27.4,6.4,2022,10,October,True
2022-10-10,29.1,23.3,28.9,16.3,Bangkok,26.2,5.8,2022,10,October,True
2022-10-11,28.9,23.1,15.1,19.0,Bangkok,26.0,5.8,2022,10,October,True
2022-10-12,30.8,23.0,0.5,7.1,Bangkok,26.9,7.8,2022,10,October,True
2022-10-13,31.7,23.7,0.1,12.5,Bangkok,27.7,8.0,2022,10,October,True
2022-10-14,31.4,23.5,0.0,13.2,Bangkok,27.4,7.9,2022,10,October,False
2022-10-15,29.6,21.7,0.0,21.9,Bangkok,25.6,7.9,2022,10,October,False
2022-10-16,25.1,21.1,1.1,15.7,Bangkok,23.1,4.0,2022,10,October,True
2022-10-17,29.6,22.1,1.2,11.4,Bangkok,25.8,7.5,2022,10,October,True
2022-10-18,30.5,21.3,0.0,12.2,Bangkok,25.9,9.2,2022,10,October,False
2022-10-19,30.8,21.4,0.0,13.7,Bangkok,26.1,9.4,2022,10,October,False
2022-10-20,30.2,22.6,0.0,14.7,Bangkok,26.4,7.6,2022,10,October,False
2022-10-21,29.6,23.0,0.4,16.8,Bangkok,26.3,6.6,2022,10,October,True
2022-10-22,30.7,23.6,20.5,14.2,Bangkok,27.2,7.1,2022,10,October,True
2022-10-23,30.4,23.2,8.7,9.0,Bangkok,26.8,7.2,2022,10,October,True
2022-10-24,32.2,23.8,0.0,10.4,Bangkok,28.0,8.4,2022,10,October,False
2022-10-25,32.7,24.2,0.0,12.0,Bangkok,28.4,8.5,2022,10,October,False
2022-10-26,31.9,26.3,0.3,12.9,Bangkok,29.1,5.6,2022,10,October,True
2022-10-27,29.1,24.1,5.1,14.3,Bangkok,26.6,5.0,2022,10,October,True
2022-10-28,31.0,24.9,0.2,12.3,Bangkok,28.0,6.1,2022,10,October,True
2022-10-29,31.9,22.7,0.0,12.5,Bangkok,27.3,9.2,2022,10,October,False
2022-10-30,31.6,22.8,0.0,15.8,Bangkok,27.2,8.8,2022,10,October,False
2022-10-31,31.5,23.0,0.0,11.0,Bangkok,27.2,8.5,2022,10,October,False
2022-11-01,31.0,22.0,0.0,16.6,Bangkok,26.5,9.0,2022,11,November,False
2022-11-02,31.7,20.9,0.0,10.7,Bangkok,26.3,10.8,2022,11,November,False
2022-11-03,32.2,21.0,0.0,10.0,Bangkok,26.6,11.2,2022,11,November,False
2022-11-04,32.5,20.3,0.0,13.6,Bangkok,26.4,12.2,2022,11,November,False
